forecastData,hist,MAPE,ACC,R2,RRMSE
leadweek_3,2016,0.13670585144542238,0.9195021908976351,0.8028085090850339,14.404749016022944
leadweek_3,2015,0.1358851446294699,0.9192963066530062,0.804988881223888,14.324890051501738
leadweek_3,2014,0.13621096116003167,0.918206194344027,0.8069199479984229,14.25378861634117
leadweek_3,2013,0.13638291396356333,0.9190801887143716,0.8050827687327029,14.321441299024688
leadweek_3,2012,0.136559741172782,0.9181728577710682,0.805174769401874,14.31806104966091
leadweek_3,2011,0.13563277938289015,0.9199883709464007,0.8075607752635248,14.230114995123161
leadweek_3,2010,0.13789757959098836,0.9179606807740189,0.8004388182660025,14.491042957253573
leadweek_3,2009,0.135378297647008,0.920257900471202,0.8063650138227623,14.274257429682722
leadweek_3,2008,0.13641572287398632,0.9200206732039726,0.8037143456806982,14.371625456064848
leadweek_3,2007,0.13580413832078106,0.9202127208762833,0.8047275194344334,14.33448623581942
leadweek_3,2006,0.13650840761452462,0.9199086586064651,0.8012932658091905,14.459987022398273
leadweek_3,2005,0.13495847090048055,0.9202511752437612,0.8107462442327835,14.111847149447513
leadweek_3,2004,0.13839371812618398,0.91743090539423,0.7972534346674518,14.606237673056452
leadweek_3,2003,0.13537649965950244,0.9204525986498249,0.8084595812234319,14.196844539147332
leadweek_3,2001,0.13674483941176466,0.9200940835508304,0.8005605345433555,14.486623097604895
leadweek_3,2000,0.13833488482415934,0.9180278660457225,0.7938106546452098,14.729727763765199
leadweek_3,1999,0.13653078261409593,0.9193161327960856,0.8002584110898621,14.497591569417686
leadweek_3,1998,0.13585859682694137,0.9192183006890908,0.8060604236109382,14.2854798093209
leadweek_3,1997,0.13500791916886343,0.9201190202063747,0.8102970895769859,14.128583001155981
leadweek_3,1996,0.1372519147022276,0.9193803651317263,0.8024929199334887,14.416271229996532
leadweek_3,1995,0.13713273002234183,0.9183661369049912,0.8001198834075414,14.502617988005786
leadweek_3,1994,0.13657512197286645,0.9188081569576535,0.804387213897345,14.346971306881601
leadweek_3,1993,0.13531444851587446,0.9202437555741526,0.8077663033812326,14.222513971801645
leadweek_3,1992,0.1356862183571363,0.9193795588959692,0.8066863988862047,14.262406683240878
leadweek_3,1991,0.13649747110061014,0.9190428753012545,0.8074527398990443,14.234108827344508
leadweek_3,1990,0.13642736797692762,0.9194714532452775,0.7984231705402979,14.564041755004494
leadweek_3,1988,0.1370215346710218,0.9192443218681751,0.8029056422411316,14.40120081251386
leadweek_3,2002,0.13597764936873152,0.9200974104019786,0.8039966381587965,14.36128730503052
leadweek_3,2017,0.1363718308385113,0.9195438948013902,0.8036760870177561,14.373025997500354
leadweek_4,2009,0.1500086135038394,0.9102185795123751,0.7723810211653489,15.476253887091133
leadweek_4,2017,0.14980507324787778,0.9100087236490124,0.7698825693427916,15.560959361660318
leadweek_4,2016,0.15114309402605255,0.9092278150440756,0.7650675255602588,15.722917543549237
leadweek_4,2015,0.14824370259077327,0.9106477797087486,0.7784087302616416,15.269961194494305
leadweek_4,2014,0.1483316266383235,0.9101613224915468,0.778281291821571,15.274351485526868
leadweek_4,2013,0.14982853342341831,0.909668315177997,0.7743931981157561,15.407696138115826
leadweek_4,2012,0.14821277408131178,0.9099663663520344,0.7774811324942459,15.301888421548366
leadweek_4,2011,0.14853346333408965,0.9113261935529899,0.7741994575192688,15.414310423733646
leadweek_4,2010,0.15268726407432323,0.9076411840394045,0.7563003504711677,16.01360318975024
leadweek_4,2008,0.1501825378781223,0.9098508391076224,0.7690441406106033,15.589281625400538
leadweek_4,2007,0.1496198904526559,0.9098383761612131,0.767984697597772,15.624996368286666
leadweek_4,2006,0.15093487115955828,0.909499377480336,0.7674596218003088,15.64266690721052
leadweek_4,2005,0.146105801236234,0.9140124654954939,0.7815395548229461,15.161704133179521
leadweek_4,2004,0.1495030769604559,0.9082345056713204,0.7704360490476236,15.542234443211933
leadweek_4,2003,0.14740391164711514,0.9133173119107526,0.7803608419936698,15.202551925186917
leadweek_4,1988,0.15122429469255888,0.9092709758878319,0.7661379199287245,15.687058439702076
leadweek_4,2001,0.14920402635793784,0.912012162168396,0.7674224201849464,15.643918107560376
leadweek_4,2002,0.1488842471844427,0.9111540716336486,0.7709247328281501,15.525682880458447
leadweek_4,1990,0.14989119980663854,0.9110627237476844,0.7644372501282032,15.743994091406702
leadweek_4,1991,0.1506709531847636,0.909797080153656,0.772031500159871,15.488131633144445
leadweek_4,1992,0.1490313476622423,0.9110027519496455,0.7724035813223886,15.475486913766673
leadweek_4,1993,0.14977332139092214,0.9114007521471317,0.7716615794516927,15.500692706861201
leadweek_4,1994,0.15254187956805704,0.9069470543636542,0.7626272546543243,15.804364475835285
leadweek_4,1989,0.15201857055831797,0.9075115727154379,0.7712753849300332,15.51379552490992
leadweek_4,1996,0.15022204341598097,0.9105522665334023,0.7703101266491403,15.546496539069931
leadweek_4,1997,0.14723344802231225,0.9119705562466933,0.7782911385221241,15.27401230883682
leadweek_4,1998,0.15006521018463329,0.9105034371469635,0.7672316903539422,15.650331344783803
leadweek_4,1999,0.15137880101913448,0.9092125817961827,0.7653735009354496,15.712675466483974
leadweek_4,2000,0.152757520276106,0.9076833296096534,0.7536022340723771,16.1020063383494
leadweek_4,1995,0.1505735535645695,0.9067916904045825,0.7683896812223383,15.611353665974374
leadweek_5,1999,0.17637592280596534,0.8834806201145133,0.6858154096081313,18.182519026567988
leadweek_5,1998,0.1736502039002742,0.8910550434390647,0.6845588551041994,18.218842462626604
leadweek_5,1997,0.16697016685832625,0.8977341085977649,0.7146188511135132,17.329029912090604
leadweek_5,1996,0.17079964713426177,0.8939046677193351,0.6990751441177256,17.794698783823932
leadweek_5,1995,0.17629305103496534,0.8830338500981659,0.680543354970625,18.334436789709876
leadweek_5,1994,0.17367057696402322,0.8881463720128109,0.6910941814950726,18.0291252037271
leadweek_5,1991,0.1709239532822255,0.8928010482036047,0.7077754127576223,17.53557403609887
leadweek_5,1992,0.17090177257855052,0.8916756731461716,0.703321997395778,17.668687255713365
leadweek_5,1990,0.17252237077512247,0.8926121695860362,0.6945697657237103,17.927412975998053
leadweek_5,1989,0.17316949753679065,0.8881317301695426,0.7000489945499098,17.765881925083196
leadweek_5,1988,0.17425591114482317,0.8884415528357145,0.6882184589658444,18.11285081118886
